"행정구역(동읍면)별","시점","항목","5세별",데이터
"청운효자동","2011","총인구수 (명)","계",15260
"청운효자동","2011","총인구수 (명)","0 - 4세",554
"청운효자동","2011","총인구수 (명)","5 - 9세",717
"청운효자동","2011","총인구수 (명)","10 - 14세",1028
"청운효자동","2011","총인구수 (명)","15 - 19세",1172
"청운효자동","2011","총인구수 (명)","20 - 24세",894
"청운효자동","2011","총인구수 (명)","25 - 29세",988
"청운효자동","2011","총인구수 (명)","30 - 34세",1152
"청운효자동","2011","총인구수 (명)","35 - 39세",1284
"청운효자동","2011","총인구수 (명)","40 - 44세",1488
"청운효자동","2011","총인구수 (명)","45 - 49세",1334
"청운효자동","2011","총인구수 (명)","50 - 54세",1162
"청운효자동","2011","총인구수 (명)","55 - 59세",835
"청운효자동","2011","총인구수 (명)","60 - 64세",650
"청운효자동","2011","총인구수 (명)","65 - 69세",665
"청운효자동","2011","총인구수 (명)","70 - 74세",573
"청운효자동","2011","총인구수 (명)","75 - 79세",397
"청운효자동","2011","총인구수 (명)","80 - 84세",204
"청운효자동","2011","총인구수 (명)","85 - 89세",104
"청운효자동","2011","총인구수 (명)","90 - 94세",33
"청운효자동","2011","총인구수 (명)","95 - 99세",17
"청운효자동","2011","총인구수 (명)","100+",9
"청운효자동","2011","남자인구수 (명)","계",7384
"청운효자동","2011","남자인구수 (명)","0 - 4세",301
"청운효자동","2011","남자인구수 (명)","5 - 9세",389
"청운효자동","2011","남자인구수 (명)","10 - 14세",561
"청운효자동","2011","남자인구수 (명)","15 - 19세",665
"청운효자동","2011","남자인구수 (명)","20 - 24세",462
"청운효자동","2011","남자인구수 (명)","25 - 29세",483
"청운효자동","2011","남자인구수 (명)","30 - 34세",542
"청운효자동","2011","남자인구수 (명)","35 - 39세",563
"청운효자동","2011","남자인구수 (명)","40 - 44세",666
"청운효자동","2011","남자인구수 (명)","45 - 49세",686
"청운효자동","2011","남자인구수 (명)","50 - 54세",567
"청운효자동","2011","남자인구수 (명)","55 - 59세",398
"청운효자동","2011","남자인구수 (명)","60 - 64세",269
"청운효자동","2011","남자인구수 (명)","65 - 69세",280
"청운효자동","2011","남자인구수 (명)","70 - 74세",254
"청운효자동","2011","남자인구수 (명)","75 - 79세",170
"청운효자동","2011","남자인구수 (명)","80 - 84세",83
"청운효자동","2011","남자인구수 (명)","85 - 89세",36
"청운효자동","2011","남자인구수 (명)","90 - 94세",5
"청운효자동","2011","남자인구수 (명)","95 - 99세",2
"청운효자동","2011","남자인구수 (명)","100+",2
"청운효자동","2011","여자인구수 (명)","계",7876
"청운효자동","2011","여자인구수 (명)","0 - 4세",253
"청운효자동","2011","여자인구수 (명)","5 - 9세",328
"청운효자동","2011","여자인구수 (명)","10 - 14세",467
"청운효자동","2011","여자인구수 (명)","15 - 19세",507
"청운효자동","2011","여자인구수 (명)","20 - 24세",432
"청운효자동","2011","여자인구수 (명)","25 - 29세",505
"청운효자동","2011","여자인구수 (명)","30 - 34세",610
"청운효자동","2011","여자인구수 (명)","35 - 39세",721
"청운효자동","2011","여자인구수 (명)","40 - 44세",822
"청운효자동","2011","여자인구수 (명)","45 - 49세",648
"청운효자동","2011","여자인구수 (명)","50 - 54세",595
"청운효자동","2011","여자인구수 (명)","55 - 59세",437
"청운효자동","2011","여자인구수 (명)","60 - 64세",381
"청운효자동","2011","여자인구수 (명)","65 - 69세",385
"청운효자동","2011","여자인구수 (명)","70 - 74세",319
"청운효자동","2011","여자인구수 (명)","75 - 79세",227
"청운효자동","2011","여자인구수 (명)","80 - 84세",121
"청운효자동","2011","여자인구수 (명)","85 - 89세",68
"청운효자동","2011","여자인구수 (명)","90 - 94세",28
"청운효자동","2011","여자인구수 (명)","95 - 99세",15
"청운효자동","2011","여자인구수 (명)","100+",7
"청운효자동","2014","총인구수 (명)","계",14308
"청운효자동","2014","총인구수 (명)","0 - 4세",496
"청운효자동","2014","총인구수 (명)","5 - 9세",615
